"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 12 00:03:39 CST 2022","Tue Apr 12 00:03:42 CST 2022","3282","498_TestCases.Test0Welcome","test_welcome","Test0Welcome","","","首页上滑127.0.0.1:62025","引导页_同意_点击_马上开始_点击"
"passed","Tue Apr 12 00:03:10 CST 2022","Tue Apr 12 00:03:17 CST 2022","6308","209_TestCases.Test0Welcome","test_welcome","Test0Welcome","","","引导页_查看用户协议:127.0.0.1:62025","点击用户协议or隐私政策"
"passed","Tue Apr 12 00:03:19 CST 2022","Tue Apr 12 00:03:25 CST 2022","5816","242_TestCases.Test0Welcome","test_welcome","Test0Welcome","","","引导页_应用是如何工作的_点击:emulator-5554","引导页_应用是如何工作的_点击"
"passed","Tue Apr 12 00:03:19 CST 2022","Tue Apr 12 00:03:22 CST 2022","3822","716_TestCases.Test0Welcome","test_welcome","Test0Welcome","","","引导页_同意_点击:127.0.0.1:62025","引导页_同意_点击"
"passed","Tue Apr 12 00:03:23 CST 2022","Tue Apr 12 00:03:29 CST 2022","5573","111_TestCases.Test0Welcome","test_welcome","Test0Welcome","","","引导页_应用是如何工作的_点击:127.0.0.1:62025","引导页_应用是如何工作的_点击"
"passed","Tue Apr 12 00:03:31 CST 2022","Tue Apr 12 00:03:37 CST 2022","6821","620_TestCases.Test0Welcome","test_welcome","Test0Welcome","","","引导页_应用是如何工作的_点击_返回_点击：127.0.0.1:62025","引导页_应用是如何工作的_点击_返回_点击"
"passed","Tue Apr 12 00:03:35 CST 2022","Tue Apr 12 00:03:39 CST 2022","3605","956_TestCases.Test0Welcome","test_welcome","Test0Welcome","","","首页上滑emulator-5554","引导页_同意_点击_马上开始_点击"
"passed","Tue Apr 12 00:03:15 CST 2022","Tue Apr 12 00:03:16 CST 2022","1372","315_TestCases.Test0Welcome","test_welcome","Test0Welcome","","","引导页_查看用户协议_返回:emulator-5554","点击用户协议or隐私政策后返回"
"passed","Tue Apr 12 00:03:16 CST 2022","Tue Apr 12 00:03:19 CST 2022","3387","740_TestCases.Test0Welcome","test_welcome","Test0Welcome","","","引导页_同意_点击:emulator-5554","引导页_同意_点击"
"passed","Tue Apr 12 00:03:27 CST 2022","Tue Apr 12 00:03:35 CST 2022","8025","202_TestCases.Test0Welcome","test_welcome","Test0Welcome","","","引导页_应用是如何工作的_点击_返回_点击：emulator-5554","引导页_应用是如何工作的_点击_返回_点击"
"passed","Tue Apr 12 00:03:17 CST 2022","Tue Apr 12 00:03:18 CST 2022","1513","471_TestCases.Test0Welcome","test_welcome","Test0Welcome","","","引导页_查看用户协议_返回:127.0.0.1:62025","点击用户协议or隐私政策后返回"
"passed","Tue Apr 12 00:03:08 CST 2022","Tue Apr 12 00:03:14 CST 2022","6552","337_TestCases.Test0Welcome","test_welcome","Test0Welcome","","","引导页_查看用户协议:emulator-5554","点击用户协议or隐私政策"
